scene_key,asset_id,acquisition_utc,polygon_id,class_id,split,source_url,figure,run_tag,processing,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.8726687589905,-41.25533846954523,0.0547,0.0776,0.0778,0.0734,0.0353,0.0321,0.0249,0.0179,0.0032,0.003
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.87278804229376,-41.255340674406,0.0556,0.0764,0.0828,0.0736,0.0369,0.0316,0.0231,0.0165,0.0025,0.003
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.8729073256103,-41.25534287914328,0.0581,0.0774,0.0783,0.0736,0.0369,0.0316,0.025,0.0165,0.0025,0.003
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.87302660894008,-41.255345083757085,0.0581,0.0783,0.0786,0.0736,0.0351,0.0339,0.0264,0.0165,9.0E-4,0.0031
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.87314589228313,-41.25534728824741,0.0541,0.0774,0.0817,0.0736,0.0351,0.0339,0.0256,0.0165,9.0E-4,0.0031
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.8732651756394,-41.25534949261424,0.0522,0.0727,0.0794,0.0734,0.0327,0.0325,0.0264,0.0179,0.0014,0.0016
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.87338445900895,-41.2553516968576,0.0532,0.0741,0.0771,0.0734,0.0327,0.0325,0.0272,0.0179,0.0014,0.0016
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.87398087605544,-41.255362716222166,0.0501,0.0744,0.0789,0.074,0.0317,0.0306,0.0266,0.0182,0.0017,1.0E-4
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.87410015950448,-41.25536491972463,0.0562,0.0753,0.0759,0.074,0.0317,0.0306,0.0231,0.0182,0.0017,1.0E-4
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.8743387264423,-41.255369326359116,0.0525,0.0757,0.0792,0.0723,0.0325,0.0271,0.025,0.017,0.0028,0.0022
